name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
Urban Forest Oliver Redwood RFID Blocking Leather Wallet for Men,stores,Amazon Fashion,4.3,40140.0,499.0,2000.0,75.05
ANZAILALA Ring Size Adjuster for Loose Rings - 4 Sizes Clear Ring Sizer Resizer Fit Spiral Silicone Tightener Set(4 Pcs),stores,Amazon Fashion,4.2,305.0,259.0,999.0,74.07
Cherry Blossom Wax Shoe Polish Black - 40gm | Leather Shoe Shiner,stores,Amazon Fashion,4.3,1552.0,64.6,76.0,15.0
Bella Vita Luxury Women's Perfume Gift Set 4x20 ML | Luxury Scent with Long Lasting Fragrance Eau De Parfum | CEO Woman | ...,stores,Amazon Fashion,4.2,5503.0,551.0,849.0,35.1
"Pigeon by Stovekraft Amaze Plus Electric Kettle (14289) with Stainless Steel Body, 1.5 litre, used for boiling Water, maki...",stores,Amazon Fashion,3.9,129025.0,599.0,1245.0,51.89
Blossom Moral Story Book for Kids 3 Years to 6 Years Old in English | 31 Fairy Tale Stories with Colourful Pictures | Best...,stores,Amazon Fashion,4.4,2431.0,75.0,80.0,6.25
Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dim...,stores,Amazon Fashion,4.3,9763.0,565.0,1199.0,52.88
LEDO Men's and Women's Watch Box Holder Organizer Case In 12 Slots of watches In PU Leather with Royal Black color,stores,Amazon Fashion,4.4,2629.0,899.0,3999.0,77.52
FONHCOO Kids Blue Light Blocking Glasses Computer Glasses for Boys and Girls Age 3-15 with Glasses Strap,stores,Amazon Fashion,4.6,112.0,3626.0,4999.0,27.47
"Boldfit Head Band for Man Sports Head Bandana for Men & Women Gym Hair Band for Men Workout, Running - Breathable, Non-Sli...",stores,Amazon Fashion,3.9,689.0,299.0,499.0,40.08
"Mortein Insta5 Mosquito Repellent Liquid Refill - 45ml x 6 (Buy 4 Get 2 Free) | 100% Protection from Dengue Mosquitoes, Pa...",stores,Amazon Fashion,4.0,26990.0,285.0,308.0,7.47
"Colorbar Nail Polish Remover, 110ml",stores,Amazon Fashion,4.5,22133.0,109.0,145.0,24.83
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC) - NO CD/CD,stores,Amazon Fashion,0.0,0.0,599.0,1999.0,70.04
Solar System Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),stores,Amazon Fashion,4.3,726.0,145.0,185.0,21.62
SWADESI STUFF Black Dial Brown Leather Strap Stylish Analog Watch for Men,stores,Amazon Fashion,3.9,656.0,249.0,1000.0,75.1
Bangalore Refinery 24k (999.9) 2 gm Yellow Gold Bar,stores,Amazon Fashion,4.6,4392.0,13140.0,13200.0,0.45
"Cello Sportigo Plastic Bottle Set, 1 Litre, Set of 2, Assorted",stores,Amazon Fashion,4.3,8067.0,254.0,352.0,27.84
"ADAMO Digital Dial Stylish and Fashionable Wrist Smart Watch LED Band for Kids, Colorful Cartoon Character Super Hero Wate...",stores,Amazon Fashion,3.0,193.0,259.0,995.0,73.97
Genie Unicorn School Bags for Girls - 3 compartments | Stylish and Trendy College Bag for Girls | Easy to Carry Backpacks ...,stores,Amazon Fashion,4.4,199.0,999.0,2339.0,57.29
Thrillz Silver Chain For Boys Silver Plated Chains For Boys Men Jewellery Alloy Silver Chain Mens Jewellery Necklace Chain...,stores,Amazon Fashion,3.6,75.0,169.0,999.0,83.08
Kids Board books- My First Library : Set of 10 Board Books (Box Set),stores,Amazon Fashion,4.4,641.0,467.0,900.0,48.11
RADIANT Door Bottom Sealing Strip Guard for Home (Size-36 inch) (Pack of 1) (Brown),stores,Amazon Fashion,3.8,19525.0,89.0,499.0,82.16
"NAVYSPORT Originals Unisex Casual Cushion Cotton Ankle Socks, Assorted Combo, Pack of 4, Free Size",stores,Amazon Fashion,4.1,5747.0,339.0,799.0,57.57
"Ortho Joy Arch Support Gel Insoles for Walking, Sports |All Day Comfort Full Length Orthotics for Flat Feet, High Arch, Fo...",stores,Amazon Fashion,3.9,279.0,399.0,590.0,32.37
"Kraasa Casual Lace Up Sneaker, Men Casual Shoes",stores,Amazon Fashion,3.4,5967.0,449.0,999.0,55.06
American Tourister 78 cms Polypropylene Luggage- Suitcase(FO1 (0) 01 403_Highline Blue),stores,Amazon Fashion,4.2,1847.0,3999.0,8800.0,54.56
Minimalist 2% Alpha Arbutin Serum for Pigmentation & Dark Spots Removal | Anti-pigmentation Face Serum For Men & Women wit...,stores,Amazon Fashion,4.1,8169.0,520.0,549.0,5.28
Fashion Frill Exclusive Pendant For Girls Infinite/Infinity Gold Plated Chain Necklace For Women Girls Women's Jewellery G...,stores,Amazon Fashion,3.1,13.0,169.0,999.0,83.08
GTA 5 (PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY ‎IN 2 HRS (PC)…,stores,Amazon Fashion,0.0,0.0,599.0,1999.0,70.04
Sparx Mens Sd0323g Sneakers,stores,Amazon Fashion,4.1,45024.0,599.0,899.0,33.37
"Fruits - My First Early Learning Wall Chart: For Preschool, Kindergarten, Nursery and Homeschooling (19 inches X 29 inches)",stores,Amazon Fashion,4.3,77.0,105.0,105.0,0.0
"rts Dual USB Universal Travel Adapter, International All in One Worldwide Travel Adapter and Wall Charger with USB Ports w...",stores,Amazon Fashion,4.2,7845.0,588.0,4999.0,88.24
Titan Karishma Analog Black Dial Men's Watch-NL1639SM02/NN1639SM02,stores,Amazon Fashion,4.3,1411.0,1995.0,1995.0,0.0
LEOTUDE Women's Cottonblend Half Sleeve Oversized T-Shirts (Color: Orange),stores,Amazon Fashion,3.6,162.0,309.0,1099.0,71.88
Estele Necklace Set for Women,stores,Amazon Fashion,3.5,1720.0,538.0,3999.0,86.55
"Milton Super 1000 Stainless Steel Water Bottle, 1000 ml, Silver | Leak Proof | Office Bottle | Gym Bottle | Home | Kitchen...",stores,Amazon Fashion,3.8,10841.0,318.0,441.0,27.89
crocs Men's Bayaband Flip Flop,stores,Amazon Fashion,4.3,14489.0,1647.0,2995.0,45.01
"Artistix Talon Anti Theft Design Laptop Backpack, With USB Charging Port (46 Cm, 25L,Black)",stores,Amazon Fashion,4.3,2949.0,999.0,1999.0,50.03
"SKINN BY TITAN Skinn Raw Fragrance For Men, 20ml",stores,Amazon Fashion,4.2,3502.0,548.0,645.0,15.04
Healthy Food (Vitamin Chart) Educational Wall Chart For Kids - Both Side Hard Laminated (Size 48 x 73 cm),stores,Amazon Fashion,4.3,626.0,145.0,185.0,21.62
"Fossil Gen 5E Smartwatch with AMOLED Screen, Wear OS by Google, Built-in Speaker for Phone Calls, Google Assistant, SpO2, ...",stores,Amazon Fashion,3.9,12330.0,14795.0,18495.0,20.01
Amazon Brand - Presto! Disinfectant Toilet Cleaner - 1 L (Pack of 4),stores,Amazon Fashion,4.2,21880.0,339.0,740.0,54.19
"MARVIK Trail Loop Band Compatible with Apple Watch Band Ultra 42mm 44mm 45mm 49mm, Nylon Weave Sport Loop Adjustable Strap...",stores,Amazon Fashion,4.2,44.0,584.0,999.0,41.54
ASIAN Women's Trendy-21 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Women's & Girl's,stores,Amazon Fashion,3.6,393.0,699.0,999.0,30.03
