name,main_category,sub_category,ratings,no_of_ratings,discount_price,actual_price,discount_pct
atomberg Renesa 1200mm BLDC Motor 5 Star Rated Ceiling Fans for Home with Remote Control | Upto 65% Energy Saving High Spe...,stores,Amazon Fashion,4.3,29855.0,3680.0,5190.0,29.09
LORENZ Casual Grey Wallet for Men|Wallet for Boys WL-15,stores,Amazon Fashion,4.0,2698.0,279.0,999.0,72.07
ELECTROPRIME FAD9 Gamepad Joystick Cap Black + White Handle Rocker Cap Rocker Silicone 2PCS,stores,Amazon Fashion,0.0,0.0,1790.0,2166.0,17.36
Aristocrat Polyester 52 (E) Teal Blue Travel Duffle,stores,Amazon Fashion,4.1,1140.0,1299.0,2950.0,55.97
"Minimalist Hair Growth Actives 18% Hair Growth Serum With Procapil, Capixyl, Redensyl, Anagain & Baicapil For Hair Fall Co...",stores,Amazon Fashion,3.8,2118.0,759.0,799.0,5.01
Nyamah Sales Women's and Men's Cotton Pollution and Sunburn Sunlight Protection Full Hand Gloves for Biking and Driving Du...,stores,Amazon Fashion,3.7,1006.0,214.0,499.0,57.11
Yellow Chimes Toe Rings for Women | Traditional Silver Oxidised Toe Rings Set | Bichiya for women Combo | Accessories Jewe...,stores,Amazon Fashion,3.5,1837.0,199.0,999.0,80.08
Arihant Play with Graphs - Skills in Mathematics Book,stores,Amazon Fashion,3.7,7.0,195.0,195.0,0.0
Fastrack Casual Analog Silver Dial Women's Watch-6247SM01,stores,Amazon Fashion,4.2,139.0,1750.0,1750.0,0.0
"Herbal Essences Moroccan Argan Oil Shampoo For Frizz Free, Soft Hair. With Argan Oil For Hair. Paraben Free , 400 Ml",stores,Amazon Fashion,4.2,10705.0,420.0,659.0,36.27
Valerie Sling Box Bag For Women with Detacheable Shoulder Strap and Convertible into Cosmetic Box Bag,stores,Amazon Fashion,4.0,150.0,549.0,999.0,45.05
"Paraspapermart A4 Ruled White Project Sheets (100 Sheets, Both Side Ruled)",stores,Amazon Fashion,4.2,1069.0,218.0,300.0,27.33
"2 Pairs Sun Protection Cooling Arm Sleeves for Men & Women, UPF 50 Arm Cover",stores,Amazon Fashion,4.4,4664.0,299.0,1599.0,81.3
Shining Diva Fashion Latest Collection Gold Plated Combo of 2 Bracelet for Women and Girls (Rose Gold) (cmb285_8306b_9556b),stores,Amazon Fashion,4.1,2667.0,258.0,3499.0,92.63
Villain Perfume For Men 100 Ml - Eau De Parfum - Premium Long Lasting Fragrance Spray - Woody & Spicy,stores,Amazon Fashion,3.8,20723.0,549.0,799.0,31.29
Casio Enticer Analog Dial Watch,stores,Amazon Fashion,4.4,2083.0,4979.0,5995.0,16.95
Lavie Women's Sara Box Sling Bag | Ladies Purse Handbag,stores,Amazon Fashion,4.1,1680.0,729.0,2290.0,68.17
Salt Life Men's Atlas Badge Long Sleeve Crew Neck Tee,stores,Amazon Fashion,0.0,0.0,4905.0,7009.0,30.02
GoSriKi Women's Cotton Blend Printed Kurta and Pant with Dupatta Set (KALEPING-Pista-Nw-GS),stores,Amazon Fashion,4.1,78.0,618.0,2599.0,76.22
"POND'S BB+ Cream, Instant Spot Coverage + Light make up Glow, Light, 18 g",stores,Amazon Fashion,4.2,8102.0,160.0,160.0,0.0
Sukkhi Glorious Kundan Gold Plated Choker Necklace Set for Women (N73542_D1),stores,Amazon Fashion,3.7,2140.0,241.0,5445.0,95.57
Indian Aesthetics,stores,Amazon Fashion,4.3,6.0,550.0,550.0,0.0
Daniel Klein Analog Silver Dial Women's Watch-DK11956-3,stores,Amazon Fashion,4.3,97.0,1867.0,4150.0,55.01
The Curious Hats of Magical Maths: Vedic Mathematics for Schools Book 2,stores,Amazon Fashion,0.0,0.0,12120.0,12120.0,0.0
"Lerobo Sport Band Compatible with Apple Watch Band 38mm 40mm 41mm 45mm 44mm 42mm for Women Men,Soft Silicone Sport Breatha...",stores,Amazon Fashion,4.5,11230.0,499.0,999.0,50.05
Motul C2 Chain Lube for All Bikes (150 ml),stores,Amazon Fashion,4.3,9470.0,195.0,245.0,20.41
Lino Perros Womens Synthetic Leather Hobo,stores,Amazon Fashion,4.3,596.0,1438.0,3695.0,61.08
Shining Diva Fashion Oxidised Silver Floral Single Stylish Anklet for Women & Girls(Silver)(9575b),stores,Amazon Fashion,3.7,1055.0,168.0,1999.0,91.6
"Diy Crafts Back Cover Case Holder Adjustable Opener Remover Vice Tools for Watch Repair Kits Other Diy Works, Pack of 1, R...",stores,Amazon Fashion,0.0,0.0,922.0,4995.0,81.54
"Dove Daily Shine Shampoo 1 L, For Damaged Or Frizzy Hair, Makes Hair Soft, Shiny And Smooth - Mild Daily Shampoo For Men &...",stores,Amazon Fashion,4.4,3148.0,619.38,999.0,38.0
"LORENZ Combo of Black Watch, Wallet and Black Sunglasses for Men",stores,Amazon Fashion,3.8,1989.0,509.0,569.0,10.54
"Contacts Stainless Steel Keychain | Key Ring Hook Keychain Holder | Heavy Duty Keychain for Men and Women (Grey, Pack of 1)……",stores,Amazon Fashion,4.0,534.0,249.0,1200.0,79.25
GOLD SKY Stylish PU Synthetic Leather Men's Sling Bag Cross Body Travel Office Business messenger,stores,Amazon Fashion,4.0,104.0,424.0,1999.0,78.79
"Sunsilk Stunning Black Shine Shampoo 1 L, With Amla + Oil & Pearl Protein, Gives Shiny, Moisturised and Fuller Hair - Para...",stores,Amazon Fashion,4.4,4787.0,596.3,820.0,27.28
Costafrey® Unisex Cotton Non-Slip Low Cut Ankle Multi-Colored Running Socks With Anti Slip Silicon Grip Combo Pack Of 5(Fr...,stores,Amazon Fashion,3.9,2618.0,299.0,499.0,40.08
Fashion Frill Delicate Studs Earrings For Women Combo Set ADGeometric Butterfly Gold Plated Stud & Drop Earrings For Women...,stores,Amazon Fashion,4.0,33.0,269.0,999.0,73.07
Sonata Analog White Dial Men's Watch-7135SL03/NP7135SL03,stores,Amazon Fashion,4.2,643.0,875.0,875.0,0.0
"Seagull flight of fashion 3 Layer Lingerie Organizer Bag, Travel Pouch for Storage of Bra, Underwear, Innerwear, Cosmetic...",stores,Amazon Fashion,4.1,562.0,549.0,999.0,45.05
"Himalaya Nourishing Skin Cream, 200ml",stores,Amazon Fashion,4.3,9539.0,154.0,220.0,30.0
SELX-Men Solid Business 3/4 Sleeve Lapel Button Down Slim Fit Shirt,stores,Amazon Fashion,4.3,12.0,3171.0,11036.0,71.27
Campus Men's Wells Running Shoes,stores,Amazon Fashion,4.1,1829.0,854.0,899.0,5.01
Dixcy Scott Men's Innerwear Regulart Fit Solid Vest,stores,Amazon Fashion,3.8,6378.0,259.0,399.0,35.09
"DIY Crafts Professional Hands Diamond Locking Tweezer for Jewelers Watchmakers (Design No # 2, Pack Of 1 Pc)",stores,Amazon Fashion,0.0,0.0,434.5,1975.0,78.0
"INDUS VALLEY Gel Hair Color Dark Brown | Damage-Free, No Hydrogen Peroxide, No ammonia, No PPD Dark Brown 3.00 Hair Colour...",stores,Amazon Fashion,4.0,10194.0,569.0,699.0,18.6
Mom's Darling Hair Band for Women | Girls | Kids | Hair Accessories for Women Stylish | Head Band | Hair Bands for Baby Gi...,stores,Amazon Fashion,4.2,18.0,460.0,599.0,23.21
TIMEX Analog Gold Dial Women's Watch-TWHL41SMU05,stores,Amazon Fashion,4.5,109.0,1899.0,3495.0,45.67
All Out Ultra Mosquito Repellant Combi Pack (Machine + Pack Of 2 Refills) | Kills Dengue Mosquitoes,stores,Amazon Fashion,4.2,6504.0,150.0,150.0,0.0
Sneads SPF 360 (Shoe Protection Film) | Shoe Water repellent | Liquid stain protector | 100ml Rain & Stain Waterproof Prot...,stores,Amazon Fashion,4.5,19.0,1299.0,1499.0,13.34
"Kobo WTG-05 Leather Gym Gloves, Medium (Black)",stores,Amazon Fashion,4.0,12826.0,360.0,360.0,0.0
Livon Hair Serum For Women For Dry And Rough Hair | 24-Hour Frizz-Free Smoothness | With Argan Oil & Vitamin E | 100 Ml,stores,Amazon Fashion,4.2,15665.0,225.0,375.0,40.0
Sukkhi Modish Gold Plated Necklace Set for Women,stores,Amazon Fashion,3.6,3525.0,238.0,2445.0,90.27
Crownish Silicone Travel Bottles Set - 90ml Portable Travel Bottle Lotion Shampoo Cosmetic Empty Mini Containers Bottle fo...,stores,Amazon Fashion,4.3,130.0,630.0,999.0,36.94
LOUIS DEVIN WT005 Stainless Steel Chain Analog Wrist Watch for Men,stores,Amazon Fashion,3.9,863.0,359.0,2399.0,85.04
Waverley (M): Black Watch Tartan Cloth Commonplace Notebook (Waverley Scotland Tartan Cloth Commonplace Notebooks/Gift/Sta...,stores,Amazon Fashion,4.8,31.0,1037.0,1037.0,0.0
"L'Oréal Paris Conditioner, Moisturising & Hydrating, For Dull, Dry & Lifeless Hair, 6 Oil Nourish, 180 ml",stores,Amazon Fashion,4.3,11359.0,167.0,239.0,30.13
"Wolpin Foldable Shopping Bag for Grocery - Folds to Pocket Size, Tote Grocery Shoulder Handbag Travel Bag for Men and Wome...",stores,Amazon Fashion,4.0,144.0,229.0,999.0,77.08
"LEROSEY Women's Bra Hook and Eye Extender (White, Black, Skin, Red, Begani, Pink, Maroon, 7, 2X3)",stores,Amazon Fashion,4.2,343.0,125.0,599.0,79.13
DIY Crafts Watch Repair of Back Opener Wrench and Large Watch Case Movement Holder Tool Set for Waterproof Watch (Silver),stores,Amazon Fashion,0.0,0.0,1162.0,4995.0,76.74
Yellow Chimes Earrings for Women and Girls Crystal Hoops Earrings | Silver Rose Gold Plated Clip On Earring Hoop Earrings ...,stores,Amazon Fashion,3.8,7010.0,225.0,999.0,77.48
American Tourister Polycarbonate Hard 55 Cms Luggage- Carry-On Luggage(Lg1 (0) 22 001_Coral),stores,Amazon Fashion,4.2,104.0,3625.0,4100.0,11.59
Shocknshop LED Luminous Child Kids Children Cute Cartoon Multi Color Lights Watch for Girls -W327,stores,Amazon Fashion,4.2,16.0,369.0,1499.0,75.38
Sparx Mens Sm 651 Industrial Shoe,stores,Amazon Fashion,4.1,8827.0,734.0,1049.0,30.03
"Biotique Ocean Kelp Anti Hair Fall Shampoo Intensive Hair Growth Therapy, 340ml",stores,Amazon Fashion,4.1,12169.0,233.0,299.0,22.07
Zaveri Pearls Set of 25 Gold Tone Contemporary Studs & Drop Earrings For Women-ZPFK15140,stores,Amazon Fashion,4.5,6.0,417.0,2450.0,82.98
"Amazon Basics Laptop Backpack - 24L, Water Repellent and Wear Resistant, Melange Slub Grey",stores,Amazon Fashion,4.1,44.0,659.0,1999.0,67.03
"Dove Gentle Exfoliating Nourishing Body Wash, Mild Cleanser Moisturizes Skin, Balances Ph, For All Skin Type, 800 ml",stores,Amazon Fashion,4.4,3616.0,382.5,470.0,18.62
Pretty Pink Ballet Shoes Dance Journal,stores,Amazon Fashion,3.4,3.0,921.0,1341.0,31.32
"Bombay Shaving Company Charcoal Shaving Foam, 266 ml (33% extra) with Activated Charcoal & Moroccan Argan Oil",stores,Amazon Fashion,4.1,3397.0,147.0,245.0,40.0
TIMEX TW000R425,stores,Amazon Fashion,4.3,731.0,1299.0,2345.0,44.61
Baggit Women's Sling bag (Yellow),stores,Amazon Fashion,0.0,0.0,519.0,1690.0,69.29
Plum Bulgarian Valley Rose Water Toner (For Daily Use)|With Hyaluronic Acid & Rose Extracts|100% Natural Rose Fragrance|So...,stores,Amazon Fashion,4.2,1703.0,214.0,225.0,4.89
Pretty Pink Ballet Shoes Dance Journal,stores,Amazon Fashion,3.4,3.0,921.0,1341.0,31.32
Sukkhi Modish Gold Plated Necklace Set for Women,stores,Amazon Fashion,3.6,3525.0,238.0,2445.0,90.27
Amazon Brand - Solimo Cotton Buds - 200 Sticks (Pack of 2),stores,Amazon Fashion,4.3,6773.0,139.0,240.0,42.08
Fastrack Space Analog Brown Dial Men's Watch-NN3184NM01/NP3184NM01,stores,Amazon Fashion,4.3,314.0,2595.0,2595.0,0.0
FreshDcart Blind Sleeping Eye Mask Slip Night Sleep Eye black 3D Cotton Cover Super Soft & Smooth Travel Masks for Men Wom...,stores,Amazon Fashion,3.6,1680.0,170.0,399.0,57.39
"Beardo Activated Charcoal Peel Off Mask for Men | Blackhead Removal & Detox Mask | Fights Pollution, Dirt & Tan | Suitable...",stores,Amazon Fashion,3.9,5992.0,248.0,350.0,29.14
Baggit Women's Sling bag (Yellow),stores,Amazon Fashion,0.0,0.0,519.0,1690.0,69.29
"Boldfit Compact Gym Shaker Bottle, Shaker Bottles for Protein Shake, Bpa Free Material, Plastic, Blue And Grey, 500ml, Pac...",stores,Amazon Fashion,4.3,5060.0,179.0,299.0,40.13
Diy Crafts Case Press Closer Remover Repair Watchmaker Tool and Watch Case Back Opener Repair Remover Tool Design No 2 No...,stores,Amazon Fashion,0.0,0.0,1510.0,4995.0,69.77
Yellow Chimes Earrings for Women and Girls Crystal Hoops Earrings | Silver Rose Gold Plated Clip On Earring Hoop Earrings ...,stores,Amazon Fashion,3.8,7010.0,225.0,999.0,77.48
"Fastrack Reflex Activity Tracker - Full Touch, Color Display, Notification Alert - Upto 7 Days Battery Life",stores,Amazon Fashion,3.2,429.0,1350.0,1750.0,22.86
VIP Polypropylene 48 Cms Travel Bag(DFENDEBRN_Brown),stores,Amazon Fashion,4.3,400.0,899.0,2625.0,65.75
Jockey Men Cotton Contour Brief (Pack of 1),stores,Amazon Fashion,4.1,5841.0,249.0,309.0,19.42
OrganicDews Liquid Seaweed Concentrate for Plants 250 ml with Measuring Cup 25 ml Fertilizer for All Indoor and Outdoor Pl...,stores,Amazon Fashion,4.2,15304.0,242.0,300.0,19.33
"PALAY® 2 Pairs Arch Support Insoles Fits for Flat Feet & Plantar Fasciitis Orthotic Arch Pads for Women and Men, Gel High ...",stores,Amazon Fashion,3.4,622.0,393.0,510.0,22.94
Studio Series Canvas Pencil Wrap,stores,Amazon Fashion,4.4,48.0,1472.0,36000.0,95.91
Zaveri Pearls Set of 25 Gold Tone Contemporary Studs & Drop Earrings For Women-ZPFK15140,stores,Amazon Fashion,4.5,6.0,417.0,2450.0,82.98
TIMEX A500,stores,Amazon Fashion,4.0,498.0,712.0,1245.0,42.81
EAYIRA Hanging Travel Toiletry Kit Bag Cosmetic Make up Organizer Multifunction Portable Makeup Pouch for Women and Girls ...,stores,Amazon Fashion,3.9,798.0,380.0,499.0,23.85
"SOFLIN Egg Boiler Electric Automatic Off 7 Egg Poacher for Steaming, Cooking, Boiling and Frying (400 Watts, Blue)",stores,Amazon Fashion,4.3,3853.0,379.0,999.0,62.06
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Pant & Dupatta (Rapat),stores,Amazon Fashion,3.4,241.0,478.0,2599.0,81.61
Campus Men's Artemis Running Shoes,stores,Amazon Fashion,3.9,990.0,1329.0,1899.0,30.02
DIY Crafts Watch Adjustable Opener Back Case Press Closer Remover Repair Watchmaker Tool and Watch Case Back Opener Repair...,stores,Amazon Fashion,0.0,0.0,724.9,3295.0,78.0
"Plum Green Tea Oil Free Moisturizer for Daily Use | Moisturizer for face | 100% Fragrance Free | Enriched with Squalane, N...",stores,Amazon Fashion,4.2,3456.0,350.0,470.0,25.53
Sukkhi Expensive Tranditional Multicolor Choker Necklace Earring Jewellery Set with Maangtikka Jewellery Set for Women(NS1...,stores,Amazon Fashion,0.0,0.0,358.0,2095.0,82.91
TIMEWEAR Analog Men's Watch (Dial Colored Strap),stores,Amazon Fashion,4.2,27.0,249.0,899.0,72.3
Genie Flamenco2 Casual Backpacks for Women,stores,Amazon Fashion,4.3,1367.0,699.0,1799.0,61.15
Saanchi Ecommerce Women's Georgette Sarees ($$R-1228_Red),stores,Amazon Fashion,0.0,0.0,199.0,1999.0,90.05
"Kraasa Casual Sneakers for Women | Latest Trend Casual Shoes, Walking Shoes for Women",stores,Amazon Fashion,3.8,240.0,299.0,999.0,70.07
Trolls: Water-Color!: Talent Show (Media Tie-In),stores,Amazon Fashion,5.0,3.0,2245.05,2245.05,0.0
Kuber Industries Waterproof Round Non Wovan Laundry Bag/Hamper|Metalic Printed With Handles|Foldable Bin & 45 Liter Capici...,stores,Amazon Fashion,4.0,3751.0,161.5,199.0,18.84
Fossil Women's Modern Courier Stainless Steel Chronograph Dress Quartz Watch,stores,Amazon Fashion,4.3,645.0,6869.0,13495.0,49.1
"Himalaya Pure Skin Neem Facial Kit (Facewash 50ml, Scrub 50g & Face Pack 50g)",stores,Amazon Fashion,4.2,7981.0,160.0,200.0,20.0
SOFTSPUN Microfiber Cloth - 5pcs - 40x40cms - 340GSM Multi-Color - Thick Lint & Streak-Free Multipurpose Cloths - Automoti...,stores,Amazon Fashion,4.3,26064.0,320.0,755.0,57.62
Puma Mens Cliff Idp Low Boot,stores,Amazon Fashion,4.0,281.0,1709.0,3499.0,51.16
"DIY Crafts Deluxe Watch Opener Tool Kit Repair Pin Remover - Combo Kit - As Choice Kit/Set (W, G)",stores,Amazon Fashion,0.0,0.0,558.0,2495.0,77.64
Nakabh 8 inch Stylish Chain Style Stainless Steel Bracelet for Men Boys Unisex,stores,Amazon Fashion,4.0,711.0,219.0,1499.0,85.39
motherly 25 ltrs (25 Cms) backpack(5860_grey),stores,Amazon Fashion,4.5,5469.0,1736.0,4849.0,64.2
WOW Skin Science Vitamin C Serum for Skin whitenening - Brightening and Hyperpigmentation. Genuine 20% - 30ml,stores,Amazon Fashion,3.9,16175.0,412.0,699.0,41.06
"Supersox Men's Half Terry Cotton Cushion Special Design Sneaker Length Socks (Multicolor, Free Size) Pack of 3",stores,Amazon Fashion,4.2,6066.0,249.0,599.0,58.43
Acnos Analogue Men's Watch (Pack of 3) (Multicolored Dial Multicolored Colored Strap),stores,Amazon Fashion,3.5,6449.0,364.0,1999.0,81.79
ALSU Women's Black Hand Clutch Wallet Purse(LDU-012BW),stores,Amazon Fashion,4.1,1703.0,353.0,1499.0,76.45
"Dot & key Lip Plumping Mask Vitamin C + E (Lingenberry), 15ml",stores,Amazon Fashion,3.9,2251.0,185.0,295.0,37.29
Shining Diva Fashion Latest 18k Gold Plated AAA Crystal Diamonds Earrings For Women & Girls,stores,Amazon Fashion,4.0,601.0,258.0,2499.0,89.68
TYPIFY® Oxford Durable Water-Resistant Women's Travel Backpack Korean College handbag school Bag for girls. Gift for Her,stores,Amazon Fashion,3.7,20.0,449.0,1699.0,73.57
"Soccer Game! (Scholastic Reader, Level 1)",stores,Amazon Fashion,4.6,282.0,892.0,892.0,0.0
ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Palazzo (Pimpli),stores,Amazon Fashion,3.7,1844.0,479.0,2599.0,81.57
"Park Avenue Signature Collection Premium Body Spray for Men, 2 Voyage & 1 Neo FREE, Fresh Long Lasting Fragrance (Pack of ...",stores,Amazon Fashion,4.2,10299.0,422.4,480.0,12.0
SHREEMAD Women Bag Crocodile Stylis tote Shoulder Leather Purse in Croco type material Very Elegant look with 3 Compartmen...,stores,Amazon Fashion,0.0,0.0,799.0,999.0,20.02
RYNOCHI Antiglare Computer Glasses For Eye Protection Blue Light Blocking Glasses Oval Sunglasses Black Frame For Boys & G...,stores,Amazon Fashion,3.9,220.0,240.0,1999.0,87.99
Fashion Frill Exclusive Lovable Stainless Steel Hug Ring For Women Girls Valentine Ring Couple Ring For Women Girls Boys P...,stores,Amazon Fashion,3.4,96.0,149.0,199.0,25.13
"Cello Checkers Plastic PET Canister Set, 18 Pieces, Clear",stores,Amazon Fashion,4.4,67514.0,569.0,1090.0,47.8
"SKMEI Men's Digital Sports Watch, LED Square Large Face Analog Quartz Wrist Watch with Multi-Time Zone Waterproof Stopwatch",stores,Amazon Fashion,4.0,702.0,949.0,999.0,5.01
EXOTIC New Hand bag for Women,stores,Amazon Fashion,4.2,698.0,1369.0,2999.0,54.35
"Pond'S Pure Detox Face Wash 200 G, Daily Exfoliating & Brightening Cleanser, Deep Cleans Oily Skin - With Activated Charco...",stores,Amazon Fashion,4.4,5649.0,230.0,425.0,45.88
"Lakme Blush & Glow Strawberry Sheet Mask, 25 ml",stores,Amazon Fashion,4.1,2359.0,85.0,100.0,15.0
Shining Diva Fashion Latest Stylish Rose Gold Tulip Design Earrings Necklace Jewellery Set For Women (10103s),stores,Amazon Fashion,4.0,442.0,490.0,3499.0,86.0
Casio Enticer Analog Black Dial Men's Watch-MTP-VD01G-1BVUDF (A1367),stores,Amazon Fashion,4.4,812.0,4195.0,4195.0,0.0
"Mamaearth Long Stay Kajal Black Retractable Waterproof, with Vitamin C & Chamomile, Charcoal Black, Matte Finish",stores,Amazon Fashion,4.0,3105.0,262.0,299.0,12.37
Elios Long Black PU Leather Wallet for Women (Black),stores,Amazon Fashion,4.0,4801.0,549.0,1299.0,57.74
"Safari Prisma Trolley Bags 55cms, Softside Polyester Travel Suitcases with Trolley, 4 Wheel Red  Small Cabin Luggage",stores,Amazon Fashion,4.2,3298.0,2499.0,7100.0,64.8
GoSriKi Women Kurta and Palazzo,stores,Amazon Fashion,3.6,293.0,479.0,2599.0,81.57
Women & Girl Floral Print Viscose Rayon Straight Kurta,stores,Amazon Fashion,0.0,0.0,5999.0,7999.0,25.0
"Parachute Advansed Soft Touch Body Lotion for Women & Men, All Skin types, 400ml | Pure Coconut Milk & Honey, 100% Natura...",stores,Amazon Fashion,4.1,16265.0,150.75,280.0,46.16
"Flysales® Black Flexible Metal Wavy,Spring Zig Zag,Chain and Simple Hair Band Hair Hoop Hairband Daily Use for Unisex Men ...",stores,Amazon Fashion,3.6,29.0,249.0,349.0,28.65
"IZU/ Digital Dial Waterproof Smart Design LED Display Kids Watch for Boys & Girls, Stylish and Fashionable Sports Wearable...",stores,Amazon Fashion,0.0,0.0,325.0,999.0,67.47
"Peter England Men's Cotton Full Length Socks (Pack of 3) Navy, Black, Dark Grey",stores,Amazon Fashion,4.2,515.0,399.0,399.0,0.0
AILIHEN I35 Kid Headphones with Microphone Volume Limited 85dB Children Girls Boys Teen Lightweight Foldable Wired Headset...,stores,Amazon Fashion,4.3,3057.0,4723.0,9200.0,48.66
"V-Guard VG 400 for 1.5 Ton A.C (170V to 270V) Original 3 Year onsite wrranty,White",stores,Amazon Fashion,4.1,4127.0,1712.0,2750.0,37.75
"RASAFA Alluring 6 Pipe Bangle Boxes Rose Printed, Cosmetic Box, Storage Organizer Vanity Box (Grey, Multicolor)",stores,Amazon Fashion,3.6,25.0,559.0,799.0,30.04
Allen Solly Men's Handkerchief - Pack of 3 (White Royal Blue),stores,Amazon Fashion,4.3,1094.0,349.0,349.0,0.0
Pravyta Multifunctional Bra Underwear Organizer Bag Slide Portable Cosmetic Makeup Lingerie Toiletry Travel Bag (multi-col...,stores,Amazon Fashion,3.3,114.0,299.0,499.0,40.08
Fastrack Reflex 3.0 Digital Black Dial Unisex-Adult Watch-SWD90067PP01A,stores,Amazon Fashion,3.8,1832.0,1617.0,2995.0,46.01
Scotch-Brite Bathroom Squeegee Plastic Wiper(30 cm)(Green),stores,Amazon Fashion,4.3,13054.0,385.0,425.0,9.41
GoSriKi Women's Georgette Blend Printed Saree With Blouse Piece (MAHA-BLUE-GS_Blue_Free Size),stores,Amazon Fashion,3.2,182.0,289.0,2599.0,88.88
Malabar Gold & Diamonds 24k (999) Goddess Lakshmi 1 gm Yellow Gold Coin,stores,Amazon Fashion,4.6,740.0,6529.0,6959.0,6.18
Mucky Fashion Bikini 07206,stores,Amazon Fashion,0.0,0.0,369.0,699.0,47.21
VOGARD Men's Artificial Leather Belt,stores,Amazon Fashion,3.9,3817.0,499.0,1200.0,58.42
Scotch-Brite Silver Sparks Scrub Pad 2.75x4 (Pack of 6),stores,Amazon Fashion,4.4,2139.0,90.0,90.0,0.0
Acnos Analog Women's Watch (Black Dial Multi Colored Strap),stores,Amazon Fashion,3.8,1141.0,285.0,1999.0,85.74
Sanas Mini Butterfly Clips Attractive Comfortable Flower shaped Small Claw Clips Kids Hair Accessories No Slip Tiny Baby P...,stores,Amazon Fashion,4.2,103.0,395.0,850.0,53.53
"Carrying Case for PS4, New Travel Storage Carry Case, Playstation Protective Shoulder Bag Handbag for PS4 PS4 Slim System ...",stores,Amazon Fashion,4.4,1011.0,3937.0,7874.0,50.0
"Fire-Boltt Ninja Call Pro Smart Watch Dual Chip Bluetooth Calling, AI Voice Assistance with HD Display, 100 Sports Modes, ...",stores,Amazon Fashion,4.2,16672.0,1799.0,17999.0,90.01
American Tourister Georgia Polycarbonate 79 cms Moonlight Blue Hardsided Check-in Luggage,stores,Amazon Fashion,4.1,614.0,4899.0,10380.0,52.8
"Intellilens Square Blue Cut Computer Glasses for Eye Protection | Unisex, UV ProtectionZero Power, Anti Glare & Blue Light...",stores,Amazon Fashion,4.0,16375.0,649.0,2999.0,78.36
ASIAN Men's Thunder-01 Casual Sneaker Colour Changing Shoes with Extra Cushion Lightwight Lace-Up Shoes for Men's & Boy's,stores,Amazon Fashion,3.3,9.0,849.0,1199.0,29.19
Fastrack Trendies Analog Pink Dial Women's Watch-NL68006PP04/NP68006PP04,stores,Amazon Fashion,4.2,876.0,2195.0,2195.0,0.0
"HomeStrap Set of 4 Transparent PVC Single Rod Storage Bangle Pouch/Box for Women Latest Bangles, Jewellery, Chudi, Bridal ...",stores,Amazon Fashion,3.8,920.0,379.0,549.0,30.97
SVH Soap Stand Holder for Bathroom Kitchen Sink Wall Single Layer with Magic Stickers (Leaf SOAP Dish),stores,Amazon Fashion,3.3,2113.0,99.0,399.0,75.19
Aristocrat Airpro 55cm Polypropylene Hardsided Cabin Size 8 Wheels Blue Trolley,stores,Amazon Fashion,0.0,0.0,1989.0,7500.0,73.48
School Raincoat For Kids Waterproof Polyester Rainwaer For Girls & Boys,stores,Amazon Fashion,0.0,0.0,599.0,599.0,0.0
wolpin Waterproof Oxford cloth Messenger Bag Sling Bag for Men & Women Crossbody Small Shoulder Chest Anti Theft Travel Pe...,stores,Amazon Fashion,3.5,11.0,329.0,999.0,67.07
Timex Analog White Dial Men's Watch-TW000U933,stores,Amazon Fashion,4.1,1031.0,1599.0,3295.0,51.47
"Indigifts Cool Bhabhi Quote Printed Mouse Pad (Pink, 8.5x7-inch)",stores,Amazon Fashion,5.0,2.0,249.0,699.0,64.38
Vembley Stylish Valentine Day Gift Silver Heart Couple Ring Matching Wrap Finger Ring for Women and Men,stores,Amazon Fashion,2.8,86.0,158.0,1499.0,89.46
"Titan Smart 2 Fashion Smartwatch, 1.78” AMOLED Display with Premium Metal Body, Multiple Sports Modes with 100+ Watchface...",stores,Amazon Fashion,4.0,480.0,5995.0,12995.0,53.87
"UAPAN Brass Ghungroo Cotton String Anklet Bells (White, 1.6 cm, 50+50, Pair) For Women",stores,Amazon Fashion,4.4,390.0,456.0,999.0,54.35
Adidas Men's Rush M Running Shoe,stores,Amazon Fashion,4.2,551.0,2031.0,4299.0,52.76
"PHILIPS Wiz Wi-Fi Enabled B22 9-Watt LED Smart Bulb, Compatible with Amazon Alexa and Google Assistant(16M Colours +Shades...",stores,Amazon Fashion,4.1,10218.0,649.0,1999.0,67.53
"TRAWOC 55 LTR Travel Backpack Daypack bag for Camping Hiking Trekking, English Blue, SHK014",stores,Amazon Fashion,4.2,2372.0,1417.0,2999.0,52.75
Daily Orders Sports jersey set with track pant with name team name and number printed Red-DOdr1009-CS9151222-57-WH,stores,Amazon Fashion,0.0,0.0,999.0,1999.0,50.03
"Fixderma Shadow Sunscreen SPF 30+ Gel For Oily Skin - Acne Prone, Offers PA+++ Protection, Broad Spectrum UVA and UVB Prot...",stores,Amazon Fashion,4.4,3020.0,347.0,385.0,9.87
YouBella Jewellery Earrings for Women Afghani Oxidised Silver Jhumka earrings for Girls and Women,stores,Amazon Fashion,3.9,2495.0,195.0,1599.0,87.8
Brishti Super-Hero Multicolored Glowing Light Digital Wrist Watch for Kid's (Best Return Gift for Boy's),stores,Amazon Fashion,4.0,14.0,299.0,899.0,66.74
